fixture	period	category	depth	slot	cellKey	plainText
02-choi-seongsoo-tiered-fortune.json	life	overall	brief	headline	life/overall/brief/headline	느긋한 보폭이 잘 맞아, 천천히 단단해지는 시기가 와요.
02-choi-seongsoo-tiered-fortune.json	life	overall	standard	para0	life/overall/standard/para0	장년기로 들어서며 삶의 중심이 한층 단단해져요. 처음엔 잔잔한 강줄기였다가 흐를수록 깊어지는 모양처럼, 시간이 지날수록 자기 기준이 또렷해져요.
02-choi-seongsoo-tiered-fortune.json	life	overall	standard	para1	life/overall/standard/para1	무리해서 큰 변화를 만들기보다, 익숙한 페이스를 지키며 작은 차분함을 쌓는 방식이 잘 맞아요. 건강과 일의 균형을 천천히 다시 짜는 시기가 한 번 와요.
02-choi-seongsoo-tiered-fortune.json	life	overall	standard	para2	life/overall/standard/para2	그 시기를 놓치지 않으면 후반기가 한결 풍성해져요.
02-choi-seongsoo-tiered-fortune.json	life	overall	expert	para0	life/overall/expert/para0	장년기에는 일간이 약해 #용신 보강을 천천히 찾아가는 시기예요.
02-choi-seongsoo-tiered-fortune.json	life	overall	expert	para1	life/overall/expert/para1	#대운궁실의 흐름이 한 번 큰 분기를 만들고, #조상궁의 호흡이 함께 단단해지는 편이에요.
02-choi-seongsoo-tiered-fortune.json	life	overall	expert	para2	life/overall/expert/para2	이 시기에 무리한 전환만 줄이면 후반기 자리가 한결 안정돼요.
02-choi-seongsoo-tiered-fortune.json	life	overall	expert	para3	life/overall/expert/para3	#통관용신의 흐름이 자리하면 한쪽으로 막힌 흐름을 부드럽게 살려 주고, #병약용신의 리듬이 곁에 들어오면 모자란 자리를 자연스레 받쳐 주는 호흡이 함께 흘러요.
02-choi-seongsoo-tiered-fortune.json	life	overall	expert	para4	life/overall/expert/para4	#월덕귀인의 기운이 #조상궁의 뿌리와 함께 보이는 사주는 장년기의 작은 무리도 부드럽게 풀어 주는 자리가 자주 등장해요. 한 번 큰 분기 뒤에는 천천히 다지는 시간이 평생의 가장 큰 자산이 되는 사주이니, 후반기로 갈수록 자기 페이스를 지켜 두는 호흡이 깊어져요.
02-choi-seongsoo-tiered-fortune.json	life	wealth	brief	headline	life/wealth/brief/headline	평생의 재물은 꾸준함이 큰 자산이 되는 흐름이에요.
