proseExcerpt	fixtureCount	02-choi-	04-kim-s	05-park-	06-lee-h	08-kim-j	09-kim-s	10-choi-	11-park-	12-jeong	13-oh-ex	14-choi-	15-choi-	16-choi-	17-kim-s	18-lee-c	19-gyeok	20-gyeok	21-multi	22-low-c	23-jongg	24-jongg	25-jongg	26-jongg	27-jongg	28-jongg	29-pure-	30-jeolg	31-newbo	32-nonag	33-conse	34-gyeok	35-palac
#형제궁의 결과 #자녀궁의 흐름을 함께 살펴 두면 가족 안의 분위기 흐름이 더 또렷해져요.	32	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
#음양조화도의 평균이 또렷한 사주는 #안정성지수도 함께 단단해지는 자리라, 큰 결정보다 작은 회복 습관이 평생의 무기가 돼요.	31	X	.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
전체의 흐름은 #용신 방향과 #희신의 받침이 함께 들어오는 시기에 한 단계 부드러워지고, 거스르는 시기에는 한 박자 늦추는 호흡이 자기를 지키는	31	X	.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
이동의 흐름은 #역마의 자극과 #조상궁의 뿌리가 함께 살아나는 자리에서 단단해지고, 익숙한 동선부터 한 걸음씩 넓히는 페이스가 잘 어울려요.	31	X	.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
#격국용신의 결과 #격국적합도의 평균이 또렷한 사주는 자기 격에 맞는 길로 큰 흐름이 모이는 자리가 자주 등장해요.	31	X	.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
#지살의 신호와 #천이궁의 흐름을 함께 봐 두면 이동의 길이 어떻게 펼쳐질지 한층 또렷해져요.	31	X	.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
#대운궁실의 결과 #월운의 자리가 표현의 흐름으로 맞물리는 시기엔 작품·발표 자리가 한 단계 깊어지는 흐름이 보여요.	28	X	X	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#통관용신의 흐름이 자리하면 한쪽으로 막힌 흐름을 부드럽게 살려 주고, #병약용신의 흐름이 곁에 들어오면 모자란 자리를 자연스레 받쳐 주는 흐름	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
장기 건강운에서 봄과 여름의 현재 계절은 활동성과 대사 리듬을 빠르게 만듭니다.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#정인이 받쳐 주면 회복이 안정되지만, #편인이 과하면 컨디션 해석이 예민해질 수 있습니다. #용신 방향의 보충 루틴을 오래 유지하세요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
